Index,Commit Message,Score,Correspond Changelog Sentence,Commit Description,Class
1130,"Handle case when Job has been completed and removed, and the provider cannot read its status. (#1619)",0.55450827,Fix job documentation,tests: Ignore internal k8s annotations+labels,0
1131,v1.7.0,0.6280149,"2.6.0 (October 19, 2021)",tests: Ignore resource_version in import tests,0
1132,Update to Terraform SDK v2.2.0 (#1061),0.9596428,* Update Terraform SDK to v2 (#1027) ,,1
1133,Fix some acceptance test errors (#1194),0.69864583,Update acceptance tests for tfproviderlint (#887),,0
1134,Refactor kubernetes client config initialization and fix in-cluster config (#690),0.8534696,Refactor client config initialization and fix in-cluster config (#679) (#497),test-infra: Expose google_zone from kops @ GCE,1
1135,v2.10.0 (#1680),0.7057082,"2.6.0 (October 19, 2021)",,1
1136,Fix service datasource after #306 broke it (#313),0.72700214,* Fix service load balancer crash (#1070),test-infra: Add more targets (kops + minikube),1
1137,Merge pull request #455 from terraform-providers/renovate/github.com-keybase-go-crypto-digest,0.5346848,Update terraform-plugin-go and terraform-plugin-sdk (#1551),,0
1138,Make expand / flatten style idiomatic for tolerations. Don't set zero-values explicitly.,0.47507894,Match specific tolerations to prevent diffs (#978),,0
1139,Fix idempotent delete operation (#1999),0.7054411,resource/kubernetes_persistent_volume_claim_v1: Fix an issue when the delete operation may not be idempotent. [GH-1999],resource/kubernetes_secret: Prevent binary data corruption,1
1140,Kubernetes ConfigMap metadata name did not comply to the regex rules (#12955),0.67498296,"Add missing labels to fix ""kubernetes.io/metadata.name always in plan"" (#1293)",,0
1141,v2.2.0,0.67444307,"2.8.0 (February 09, 2022)",,0
1142,Update CHANGELOG.md for v1.6.0.,0.78421664,Generating changelog for release-v2.19.0 from v2.18.1...,,1
1143,Add some validations where appropriate.,0.5954251,Add validations to service (#1273),,0
1144,Add wait_for_load_balancer field to kubernetes_ingress (#830),0.84496737,Add wait_for_load_balancer field to ingress,,1
1145,Add CSIDriver resource (#825),0.98142576,* Add resource for CSIDriver (#825),Typo: config map => storage class,1
1146,Bump k8s.io/kubernetes to v1.25.5 (#2040),0.716517,Bump provider SDK to v1.7.0,Fix link to secrets design proposal,1
1147,Add support for certificates/v1 API (#1473),0.85315853,Add support for certificates/v1,fix argument name in example,1
1148,provider/kubernetes: Use PATCH to update namespace (#13114),0.65030676,Updated host_alias property name to host_aliases (PR #670),,0
1149,Update module hashicorp/terraform to v0.12.4 (#547),0.7345773,* Update Terraform SDK to v2 (#1027) ,,1
1150,add TestAccKubernetesPod_config_with_automount_service_account_token,0.67016906,Fix kubernetes_default_service_account doesn't set the automount_service_account_token to false (#1247),,0
1151,Update changelog for v1.13.2 (#1001),0.7842809,Generating changelog for release-v2.19.0 from v2.18.1...,,1
1152,.github/workflows: Switch pr-size-labeler action to upstream (#1952),0.48416567,* Update docs to reflect new schema for load_balancer_ingress (#1123),fix README to work with new github acct,0
1153,docs/kubernetes: Document compatible k8s versions (#15020),0.71521616,Fix docs formatting for kubernetes_secret (#1434),hashicorp -> terraform-providers,1
1154,"Fix kubernetes_job ""No waiting"" documentation example (#1383)",1.0,"Fix kubernetes_job ""No waiting"" documentation example (#1383)",,1
1155,v1.8.0,0.683233,"2.6.0 (October 19, 2021)",test-infra: Allow testing against different K8S versions,0
1156,Update Changelog for kubernetes provider,0.7582887,Update docs to reflect Kubernetes service status attribute (#1148),,1
1157,Fix dead link,0.70912755,Docs: fix broken links (#1041),vendor: Bump Google provider to 1.2.0,1
1158,Bump Terraform SDK to pluginsdk-v0.12-early9 (#426),0.808609,Update terraform-plugin-go and terraform-plugin-sdk (#1551),,1
1159,add test for loadbalanceingress IP/Hostname check (#1797),0.69198036,* Fix assertion in TestAccKubernetesPersistentVolume_hostPath_nodeAffinty (#1067),,0
1160,Add kubernetes_annotations resource (#1660),0.8184393,Resource kubernetes_annotations (#692),,1
1161,update docs,0.6701463,Update Pull Request Lifecycle docs (#1032),,0
1162,Update CONTRIBUTING.md,0.79291624,Updates to CONTRIBUTING.md and PULL_REQUESTS.md,,1
1163,Add test case revealing issue #115 when adding data to a config map resource that didn't have any,0.5941335,Resource kubernetes_config_map_v1_data (#723),,0
1164,Update getting-started.html.markdown,0.52351254,Fix url attribute in admissionregistration client_config.service block (#959),,0
1165,Update FAQ.md to reflect current team (#1542),0.53895605,"Update documentation and correct some errors (#1622, #1628, #1657, #1681)",,0
1166,tests: Fix wrong access_modes for PVC,0.6142163,Allow in-place update of PVC's storage request (#957),,0
1167,Update website/docs/r/manifest.html.markdown,0.5678461,* Update docs to reflect new schema for load_balancer_ingress (#1123),,0
1168,doc: mention Delete reclaim policy,0.59423643,resource/kubernetes_network_policy_v1: Fix an issue when the delete operation may not be idempotent. [GH-1999],,0
1169,Fixing logo,0.5542482,Documentation fixes,  Removed old k8s vendored code   Update provider to support k8s go-client v4.0.0   Vendor k8s go-client v4.0.0   Update vendored juju/ratelimit   More vendoring updates to support k8s go-client v4   Make fmt   Vendoring missing dependencies   docs: Document new version compatibility ,0
1170,Add kubernetes_labels resource (#1616),0.8330753,Resource kubernetes_labels (#692),,1
1171,Update module Azure/go-autorest to v12,0.6469875,Update k8s.io/client-go to v12,,0
1172,Fix typo in new Endpoints resource documentation (#409),0.69947845,Docs: fix typo in getting started guide (#1262),https://help.github.com/articles/adding-a-code-of-conduct-to-your-project/ https://help.github.com/articles/adding-support-resources-to-your-project/,0
1173,kubernetes: Ignore internal K8S annotations,0.6255287,resource/kubernetes_cron_job_v1: Fix annotation logic to prevent internalkeys from being removed in templates [GH-1983],,0
1174,Add fs_group_change_policy to security_context (#1892),0.7181503,Add a new optional attribute fs_group_change_policy to pod.spec.security_context. That affects all resources and data sources that use pod.spec directly or as a template. [GH-1892],Fix mode conversion with config_map volume items,1
1175,CronJob: adapt PodTemplate for re-use in CronJob and fix tests.,0.5563133,Add validations to container PodSpec (#1275),,0
1176,vendor: google.golang.org/api/gensupport/...@672d215d,0.5437422,@dgnemo made their contribution in https://github.com/hashicorp/terraform-provider-kubernetes/pull/1915,,0
1177,Make CoC and support channels more visible,0.50458634,Add support for networking/v1,Adding spacing after insecure,0
1178,vendor: golang.org/x/net/idna@a04bdaca5b32abe1c069418fb7088ae607de5bd0,0.46869406,@AnisimoffNikita made their contribution in https://github.com/hashicorp/terraform-provider-kubernetes/pull/1519,Adding a space after the insecure for better readability,0
1179,Merge pull request #66 from terraform-providers/docs-d-svc,0.593783,Update terraform-plugin-go and terraform-plugin-sdk (#1551),,0
1180,Enable modules tidying in renovate,0.49300605,Refactor client config initialization and fix in-cluster config (#679) (#497),r/service: Make spec.port.target_port optional,0
1181,Update module imdario/mergo to v0.3.7,0.55989707,Update all go modules (#1240),acc-tests: Fix faulty detection of environment,0
1182,Transfer kubernetes provider,0.6130676,  - kubernetes_service,,0
1183,Merge pull request #69 from terraform-providers/b-svc-optional-target-port,0.54011106,Update terraform-plugin-go and terraform-plugin-sdk (#1551),,0
1184,Fix empty_dir forced replacement (#985),0.8810478,Fix spurious forced replacement in empty_dir volume (#985),docs: Improve service data source example,1
1185,"change fs_group, run_as_user, run_as_group to strings (#1093)",0.47321162,* Add ingressClassName as field in Ingress manifest (#1057),Make acceptance tests compatible w/ minikube,0
1186,Merge pull request #441 from terraform-providers/renovate/configure,0.65193754,Update terraform-plugin-go and terraform-plugin-sdk (#1551),,0
1187,Merge pull request #520 from terraform-providers/update-go-travis,0.67110753,Update terraform-plugin-go and terraform-plugin-sdk (#1551),,0
1188,Merge pull request #53 from terraform-providers/b-container-sc-caps-crash,0.539113,Update terraform-plugin-go and terraform-plugin-sdk (#1551),vendor: github.com/hashicorp/terraform/...@v0.10.3,0
1189,Fix diff when importing podspec resources containing volume_mount (#2061),0.83834124,Fix diff after import when importing resources containing volume_mount [GH-2061],,1
1190,go mod tidy,0.49870944,ENHANCEMENT:,,0
1191,Add acceptance test,0.63214576,Update acceptance tests for tfproviderlint (#887),build: Switch Travis to Go 1.9,0
1192,initial commit,0.4212184,Defer client initialization to improve resilience (#759),,0
1193,csi pod volume (#1092),0.7089275,Add attribute csi to pod spec (#1092),docs: Add Getting Started Guide,1
1194,fix assertion in TestAccKubernetesPersistentVolume_hostPath_nodeAffinity (#1067),0.9881493,* Fix assertion in TestAccKubernetesPersistentVolume_hostPath_nodeAffinty (#1067),,1
1195,Upgrade Go dependencies (#1939),0.8256401,Update Go dependencies (#968),tests: Skip GCloud tests if no ENV vars provided,1
1196,Fix token name,0.46536332,Fix fail when the provider cannot determine default_secret_name (#1634),,0
1197,Implement env_from mapping,0.5181179,"Tolerate unknown values in ""env"" and ""exec"" provider attributes",,0
1198,Update CHANGELOG,0.7286793,Generating changelog for release-v2.19.0 from v2.18.1...,r/pod+rc: Avoid crash in reading container.security_context capability,1
1199,Fix adding labels and annotations to a resource that didn't have any,0.70069665,* Add missing annotations (#1289),docs: Use lower casing for labels,1
1200,Use subcategories to group resources into API groups (#1513),0.6316326,Add support for aggregation_rule to cluster_role resource (#911),docs: Enable HCL syntax highlighting for storage_class,0
1201,Complete out CronJob schema and add tests,0.54252076,* Fix cronJob.ttl_seconds_after_finished causing requests to fail even without value specified (#929),,0
1202,"Rename ""computed_attributes"" to ""computed_fields""",0.5490781,* Add ingressClassName as field in Ingress manifest (#1057),,0
1203,Update CHANGELOG.md for v2.13.1 release (#1820),0.81456983,Generating changelog for release-v2.19.0 from v2.18.1...,,1
1204,Update GH actions [GKE] to install gcloud beta component (#1783),0.5821911,Update acceptance tests infrastructure code for GKE and AKE and related GitHub Actions,,0
1205,Handle 'x-kubernetes-preserve-unknown-fields' type annotation (#1646),0.80687714,Handle x-kubernetes-preserve-unknown-fields type annotation from OpenAPI: changes to attributes of this type trigger whole resource recreation. (#1646),,1
1206,Handle morphing into same type instead of reusing config values,0.47507632,Do not set default namespace for replication controller and deployment pod templates (#275),,0
1207,v2.18.1 (#2012),0.77456224,"2.8.0 (February 09, 2022)",,1
1208,Add nil check for configmap volume mode (#332),0.67610633,Add support for volume mode (#939),meta: Treat internal k8s annotations as invalid,0
1209,resource/kubernetes_service: Wait for LB ingress,0.77654606,Add wait_for_rollout to kubernetes_deployment resource (#863),,1
1210,[COMPLIANCE] Add Copyright and License Headers (#1982),0.57294714,Clean up incompatible licenses. (#1238),,0
1211,Amend README to relax restrictions on beta K8s resources (#378),0.5248251,* Restructure service and ingress to match K8s API (#1071),r/pod: Represent update-ability of spec correctly,0
1212,Make persistent_volume's node_affinity computed to support server side populated default values (#393),0.6413052,* Fix assertion in TestAccKubernetesPersistentVolume_hostPath_nodeAffinty (#1067),,0
1213,"Add ""immutable"" attribute to kubernetes_config_map data source (#1854)",0.7461852,"Add ""field_manager"" attribute to kubernetes_labels, kubernetes_annotations, kubernetes_config_map_v1_data [GH-1831]",,1
