Index,Commit Message,Score,Correspond Changelog Sentence,Commit Description,Class
9345,internal/config: docs for new funcs,0.54995906,cli: Add new workspace create command [GH-2797],,0
9346,auto-updated internal/server/gen/bindata_ui.go from commit d9b3a7a5,0.59502435,upgrade: Fixes a bug where pre-v0.10.4 config sources could not be updated or,"We had initially written this a bit before we made some UI tweaks that changed the output, so this catches us up to that. It also adds some additional whitespace and modifies colors a bit.",0
9347,Update task ref docs for which job it expects,0.57766616,"core: Update TaskCancel to also cancel WatchTask job, if it was launched. [GH-3893]",Clean up Get Started and tutorial pages,0
9348,use platform name for nomad's runner config,0.7571224,upgrade: Nomad server upgrade upgrade now detects runners with the name,,1
9349,Add note about ui.Status replacement,0.5527382,ui: Updated list items UI on deployments tab [GH-2879],Also use title case for in-page headings.,0
9350,restructure tools/tools.go to prevent gofmt issue,0.5051758,cli: New waypoint fmt command will autoformat your waypoint.hcl files [GH-1037],,0
9351,Some better error reporting to figure out whats up with CI,0.50165254,cli: more informative error messages on install [GH-1004],Fail silently when the destroy process does not have the required info,0
9352,"internal/server: add pollqueuer, start it on server start",0.5850007,server: Fix project poll job singleton id to only include application on project,,0
9353,Remove jfrog references,0.54133064,plugin/docker: remove intermediate containers on build [GH-667],,0
9354,Updated IDs to versions,0.55011415,ui: Update alert copy to reflect change that we are no longer removing project definitively in 0.10.0 [GH-3604],"Includes commands to init, up, and destroy. Links out to more detailed tutorials.",0
9355,ui: component-name helper,0.5201191,ui: Add ability to add input variables in the project settings UI [GH-1658],docker: make container run as waypoint user,0
9356,internal/server: detect hmac key is not known,0.46571252,ceb: Fix connecting to servers with TLS verification [GH-3167],website: reorder CLI sidebar to have common commands up top,0
9357,Use Pds::Logomark hashicorp image,0.64610124,existing server image is hashicorp/waypoint:latest [GH-3820],website: clarify opt-out and opt-in of URL stanza,0
9358,doc: correct typo in k8s init,0.43482417,serverinstall/k8s: Allow using k8s context [GH-1028],,0
9359,auto-updated pkg/server/gen/bindata_ui.go from commit 94c78d56f,0.6139898,plugin/k8s: don't error if previous deployment is not found during cleanup [GH-3070],,0
9360,Merge pull request #1036 from hashicorp/b-race,0.4750439,core: Fix a rare panic when generating an invite token. [GH-3505],,0
9361,internal/server: typo,0.5608691,internal/server: More descriptive error for unknown application deploys [GH-973],,0
9362,Adds hero patterns,0.47569185,FEATURES:,,0
9363,ui: add git commit mock data to mirage,0.6428317,core: Automatically remotely init projects with a Git data source [GH-2145],  Remove auth (#372)   Remove auth-related files/config   Adds back a dep   Co-authored-by: Brandon Romano BrandonRRomano@gmail.com   Remove beta alert banner (#412)   Switch share card URL to be www.   Co-authored-by: Noel Quiles 3746694+EnMod@users.noreply.github.com,0
9364,Formatting & verbiage fixes.,0.44747537,or label sets. This can be used to alter configurations between environments,Split guide into segments,0
9365,Move probe options into subfields for docs,0.50051653,cli: Support and render new documentation subfields [GH-1213],Co-authored-by: Jack Pearkes jackpearkes@gmail.com,0
9366,Merge pull request #2587 from hashicorp/test/flake/add-extra-print-to-appstatuspoll,0.48476374,plugin/alb: Handle DuplicateListener errors from aws-alb releaser [GH-3035],Co-authored-by: Jack Pearkes jackpearkes@gmail.com,0
9367,fix path for use cases links,0.56441414,cli: support plugins in $HOME/.config/waypoint/plugins even if XDG path doesn't match [GH-707],Co-authored-by: Jack Pearkes jackpearkes@gmail.com,0
9368,Merge pull request #4268 from hashicorp/pipeline-run-results,0.5461897,  waypoint pipeline run. [GH-4319],,0
9369,Updated text to remove fluff,0.49582002,ui: Update alert copy to reflect change that we are no longer removing project definitively in 0.10.0 [GH-3604],,0
9370,Merge pull request #1165 from hashicorp/docs-update-gen-ts,0.4689865,plugin/alb: Handle DuplicateListener errors from aws-alb releaser [GH-3035],,0
9371,Merge pull request #1819 from hashicorp/poller-tests,0.41737273,cli: Fix issue where users could not disable project polling from the CLI [GH-2673],,0
9372,Merge pull request #3840 from hashicorp/serverinstall/k8s/helm-double-bootstrap,0.60447264,cli: Refactor k8s server install to use Helm [GH-3335],,0
9373,Merge pull request #2082 from hashicorp/cli/release-list,0.534075,cli: Default the platform for server upgrade to the platform in the context [GH-1461],,0
9374,fix: link seems to point to a dead website,0.6627547,ui: Fix missing links to resources [GH-3172],,0
9375,Correcting a syntax error,0.44198352,cli: Return help on malformed command [GH-2444],,0
9376,add pipeline run get by job id,0.73690784,core: Fix out of order job ids for waypoint pipeline run job stream CLI. [GH-3946],,1
9377,Adds ,0.5296994,DEPRECATIONS:,It will still deploy previews etc. but just not comment as much.,0
9378,Fix trailing ) on github URL,0.62075347,internal/pkg/gitdirty: Fix an issue detecting dirty local source code when using git@ remotes. [GH-3636],internal/cli: use public docker image,0
9379,internal/server: note tests use old fields,0.4513421,artifact.* variable syntax to access metadata from the results of those stages. ,Ci slack notify on main,0
9380,server/ptype: Validate that image is required for a step op,0.51764673,existing server image is hashicorp/waypoint:latest [GH-3820],,0
9381,Merge pull request #3167 from hashicorp/ceb-tls-verify,0.626999,ceb: Fix connecting to servers with TLS verification [GH-3167],,0
9382,update argmapper to 0.2.3 to avoid regression,0.4946495,"0.3.0 (April 08, 2021)",internal/cli: bump k8s install timeout to 5 minutes,0
9383,Merge pull request #1114 from alrs/fix-test-err,0.57360065,plugin/alb: Handle DuplicateListener errors from aws-alb releaser [GH-3035],,0
9384,Format pack builder text,0.5202075,plugin/pack: Add ability to specify a list of file patterns to include files. [GH-1453],,0
9385,Install ember-test-selectors (#2420),0.46664917,plugin/aws-lambda: Add platform config validation. [GH-3193],,0
9386,Final timing adjustments to terminal (#457),0.52843606,config: timestamp function allows you to avail the current date and time in your Waypoint configuration. [GH-1255],,0
9387,Fix hero bakground scaling on large screens (#402),0.48525247,ui: Fix header spacing on build/release detail pages [GH-3614],,0
9388,Add Connect link to header,0.5604612,Introduce executing Trigger URL configurations via HTTP. Users can,This gives services more time for pod readiness and LB setup.,0
9389,Merge pull request #2674 from hashicorp/ui/workspace-switcher,0.52360606,ui: add workspace switcher to app pages [GH-2674],This puts the single-word commands up top in alphabetical order. These are more common commands that we want users to check out first and I think they'll have a better experience seeing these grouped together. The commands below the bar are exhaustive but much less used.,0
9390,auto-updated internal/server/gen/bindata_ui.go from commit f3281a23,0.58329415,upgrade: Fixes a bug where pre-v0.10.4 config sources could not be updated or,,0
9391,Updating heading syntax,0.5291887,ui: Add dynamic page titles [GH-1916],,0
9392,"website: ""next step"", modify install, misc fixes",0.57507944,upgrade: Fixes a bug where pre-v0.10.4 config sources could not be updated or,,0
9393,internal/appconfig: A new package for app config resolution,0.5449575,"plugin/k8s: Introduce a new config option autoscale, which creates a horizontal",,0
9394,Merge branch 'main' into multi-config,0.47751442,cli: Update base commands to default to all apps within the project if project has more than one application [GH-2413],Adding documentation for Procfile usage,0
9395,internal/server: Add API validations for project endpoints,0.59607434,server: Adds API validation to ensure server doesn't panic when given an empty,,0
9396,Merge pull request #1384 from hashicorp/dependabot/npm_and_yarn/ui/ssri-6.0.2,0.51427805,ui: Fix crash when encountering resources without IDs [GH-3929],,0
9397,core/runner: Add consistency around docker image params,0.56745934,runner: Add ability to build images without needing a containarization API [GH-2056],Updated the URL service page,0
9398,fixing order for default port config,0.6553868,"builtin/docker: Revert #918, ensure HostPort is randomly assigned between container deploys [GH-1189]",,0
9399,Add more content to server upgrade command page,0.6330258,Upgrade command for all server platforms:,,0
9400,internal/server: add notes about future work,0.5617825,internal/config: add ${workspace} variable [GH-1419],,0
9401,Bump version to 0.1.1 (#470),0.6115699,"0.6.2 (November 4, 2021)",,0
9402,pkg/server: implement task override and skipping,0.5427725,cli/serverinstall/k8s: Add new cluster role and binding to allow nodeport services to work [GH-2412],,0
9403,Merge pull request #1967 from grahamhub/bug/ui-hcl-serialization,0.5029898,cli: Refactor k8s server install to use Helm [GH-3335],Co-authored-by: Evan Phoenix evan@hashicorp.com,0
9404,builtin/google: implement logs,0.5445385,core: on-demand runner logs are now captured from the underlying platform,,0
9405,Updating legacy links,0.53884,ui: reformatted app overview page and header of artifact details page [GH-2606],website: add documentation on waypoint in jenkins,0
9406,correcting typo around url for next step,0.41564593,entrypoint: be careful to not spawn multiple url agents [GH-752],,0
9407,Merge pull request #1900 from hashicorp/bug/default-user,0.47364235,core: Connected entrypoints for deleted projects now error out properly. [GH-3949],builtin/exec: set env vars necessary for entrypoint,0
9408,Merge pull request #381 from hashicorp/f-docker-import,0.50614476,plugin/docker: fix issue with remote operations for docker-pull builder [GH-3398],,0
9409,website: fix algolia indexing,0.5073497,ui: Fix missing links to resources [GH-3172],,0
9410,build(deps-dev): bump eslint from 7.32.0 to 8.26.0 in /ui,0.5062889,plugin/k8s: Update K8s Releaser to use SDK Resource Manager [GH-1938],internal/serverclient: connections from env will send token if set,0
